[105, 87424, 379, 45.0, 101, 28611, 247, 45.0, 523, 17311, 188, 45.0, 40, 12001, 195, 52.5, 876, 11636, 406, 50.0, 74, 5070, 126, 27.5, 57, 2349, 69, 47.5, 75, 2168, 192, 45.0, 12, 20561, 230, 45.0, 18, 3439, 56, 47.5, 0, 5825785970]
[30, 44805, 514, 47.5, 143, 80694, 449, 47.5, 126, 11854, 320, 50.0, 105, 19172, 393, 47.5, 518, 11048, 476, 47.5, 103, 2777, 87, 42.5, 202, 4035, 83, 47.5, 67, 29007, 269, 47.5, 64, 4050, 211, 47.5, 887, 689, 45, 50.0, 1, 5818214731]
[412, 11216, 314, 42.5, 360, 8081, 316, 55.0, 99, 169544, 315, 42.5, 112, 38577, 316, 42.5, 81, 14513, 308, 42.5, 103, 11304, 177, 42.5, 2, 41996, 220, 30.0, 91, 9440, 182, 42.5, 90, 21519, 411, 42.5, 25, 56294, 457, 42.5, 0, 5836902465]
[81, 36010, 121, 40.94, 64, 92948, 329, 40.0, 150, 1974, 99, 57.5, 84, 5243, 45, 47.5, 10, 2467, 80, 50.0, 41, 13276, 552, 32.5, 131, 43572, 619, 25.0, 105, 37418, 200, 42.5, 236, 61885, 180, 32.5, 157, 295719, 325, 40.94, 0, 5828099004]
[145, 262645, 155, 28.75, 110, 9960, 102, 20.0, 62, 24918, 335, 28.75, 266, 16447, 476, 28.75, 267, 10702, 65, 28.75, 161, 15840, 159, 28.75, 166, 81, 324, 32.5, 29, 43323, 282, 35.0, 67, 4467, 297, 28.75, 63, 192024, 320, 27.5, 0, 5831454929]
[103, 16196, 301, 45.0, 134, 5948, 284, 40.0, 267, 22514, 179, 45.5, 141, 8832, 123, 35.0, 166, 1730, 126, 45.5, 142, 247599, 851, 45.5, 7, 380, 88, 67.5, 22, 6751, 335, 45.5, 498, 281891, 343, 40.0, 13, 12714, 476, 45.5, 0, 5823313963]
[133, 7386, 153, 49.58, 517, 32385, 364, 49.58, 131, 17746, 329, 40.0, 432, 59328, 516, 57.5, 412, 52933, 572, 49.58, 887, 2653, 579, 77.5, 89, 71613, 264, 49.58, 238, 447526, 784, 55.0, 24, 1448, 69, 30.0, 201, 6143, 204, 37.5, 0, 5836457152]
[115, 19660, 171, 45.83, 84, 11765, 90, 45.83, 55, 9012, 320, 50.0, 777, 11153, 335, 45.83, 112, 9982, 476, 45.83, 45, 19732, 254, 47.5, 61, 62033, 230, 40.0, 22, 6336, 206, 45.83, 2, 14023, 146, 45.83, 53, 2434, 97, 45.83, 0, 5820166477]
[202, 98081, 277, 36.25, 777, 2531, 322, 35.0, 427, 117313, 244, 36.25, 141, 3283, 168, 36.25, 236, 18293, 247, 37.5, 63, 20635, 220, 36.25, 104, 11716, 73, 36.25, 35, 13670, 176, 36.25, 711, 1160, 142, 36.25, 41, 8685, 117, 36.25, 1, 5833891200]
[36, 1261, 76, 45.62, 202, 66939, 441, 45.62, 62, 235119, 283, 45.62, 245, 18920, 263, 42.5, 497, 9164, 274, 45.62, 27, 16413, 417, 45.0, 254, 28910, 474, 45.62, 107, 36694, 478, 55.0, 3, 128, 243, 45.62, 99, 8156, 145, 40.0, 0, 5831004300]
[20, 5729, 156, 44.38, 63, 30217, 312, 47.5, 145, 56629, 271, 32.5, 56, 5482, 317, 44.38, 110, 5223, 159, 44.38, 147, 13944, 514, 47.5, 16, 25436, 320, 50.0, 516, 68782, 335, 44.38, 107, 42410, 393, 44.38, 112, 9982, 476, 44.38, 1, 5829563857]
[31, 3434, 141, 25.0, 58, 5908, 322, 35.0, 518, 2069, 41, 30.0, 67, 13443, 244, 30.0, 81, 15885, 168, 30.0, 429, 2529, 230, 30.0, 45, 51675, 316, 30.0, 555, 4219, 56, 30.0, 74, 11438, 144, 30.0, 42, 24924, 317, 30.0, 1, 5829305211]
[61, 37187, 469, 45.0, 90, 8505, 503, 42.5, 120, 6997, 181, 45.0, 8, 8602, 322, 35.0, 39, 4149, 119, 35.0, 121, 28878, 200, 45.0, 412, 7053, 200, 45.0, 142, 11703, 251, 60.0, 21, 23756, 268, 47.5, 22, 648, 181, 50.0, 0, 5830551622]
